Date,Surface temperature average weight,Number of cloud free observations
2007-01-01 00:00:00,241,6
2007-01-02 00:00:00,241,6
2007-01-03 00:00:00,238,11
2007-01-04 00:00:00,238,14
2007-01-05 00:00:00,238,16
2007-01-06 00:00:00,236,25
2007-01-07 00:00:00,236,26
2007-01-08 00:00:00,237,31
2007-01-09 00:00:00,237,31
2007-01-10 00:00:00,238,26
2007-01-11 00:00:00,239,27
2007-01-12 00:00:00,241,33
2007-01-13 00:00:00,244,29
2007-01-14 00:00:00,245,32
2007-01-15 00:00:00,245,27
2007-01-16 00:00:00,245,27
2007-01-17 00:00:00,245,27
2007-01-18 00:00:00,244,23
2007-01-19 00:00:00,244,14
2007-01-20 00:00:00,243,9
2007-01-21 00:00:00,248,7
2007-01-22 00:00:00,248,7
2007-01-23 00:00:00,250,10
2007-01-24 00:00:00,250,11
2007-01-25 00:00:00,250,11
2007-01-26 00:00:00,250,15
2007-01-27 00:00:00,251,23
2007-01-28 00:00:00,252,19
2007-01-29 00:00:00,251,24
2007-01-30 00:00:00,251,23
2007-01-31 00:00:00,250,28
2007-02-01 00:00:00,248,35
2007-02-02 00:00:00,246,41
2007-02-03 00:00:00,243,44
2007-02-04 00:00:00,242,53
2007-02-05 00:00:00,241,58
2007-02-06 00:00:00,240,66
2007-02-07 00:00:00,240,69
2007-02-08 00:00:00,240,63
2007-02-09 00:00:00,240,53
2007-02-10 00:00:00,239,48
2007-02-11 00:00:00,239,36
2007-02-12 00:00:00,239,29
2007-02-13 00:00:00,239,21
2007-02-14 00:00:00,236,15
2007-02-15 00:00:00,236,17
2007-02-16 00:00:00,235,20
2007-02-17 00:00:00,234,20
2007-02-18 00:00:00,233,25
2007-02-19 00:00:00,232,25
2007-02-20 00:00:00,232,24
2007-02-21 00:00:00,233,22
2007-02-22 00:00:00,232,19
2007-02-23 00:00:00,233,19
2007-02-24 00:00:00,234,17
2007-02-25 00:00:00,237,14
2007-02-26 00:00:00,238,12
2007-02-27 00:00:00,238,14
2007-02-28 00:00:00,238,17
2007-03-01 00:00:00,239,19
2007-03-02 00:00:00,240,17
2007-03-03 00:00:00,240,16
2007-03-04 00:00:00,239,19
2007-03-05 00:00:00,239,24
2007-03-06 00:00:00,239,23
2007-03-07 00:00:00,239,20
2007-03-08 00:00:00,239,23
2007-03-09 00:00:00,239,29
2007-03-10 00:00:00,239,28
2007-03-11 00:00:00,240,24
2007-03-12 00:00:00,241,21
2007-03-13 00:00:00,243,24
2007-03-14 00:00:00,243,28
2007-03-15 00:00:00,244,29
2007-03-16 00:00:00,245,24
2007-03-17 00:00:00,244,25
2007-03-18 00:00:00,244,27
2007-03-19 00:00:00,243,27
2007-03-20 00:00:00,243,27
2007-03-21 00:00:00,244,29
2007-03-22 00:00:00,245,27
2007-03-23 00:00:00,247,32
2007-03-24 00:00:00,248,35
2007-03-25 00:00:00,249,33
2007-03-26 00:00:00,252,38
2007-03-27 00:00:00,254,43
2007-03-28 00:00:00,256,44
2007-03-29 00:00:00,256,49
2007-03-30 00:00:00,257,50
2007-03-31 00:00:00,258,52
2007-04-01 00:00:00,259,56
2007-04-02 00:00:00,258,51
2007-04-03 00:00:00,258,43
2007-04-04 00:00:00,259,36
2007-04-05 00:00:00,260,27
2007-04-06 00:00:00,261,19
2007-04-07 00:00:00,257,15
2007-04-08 00:00:00,256,10
2007-04-09 00:00:00,256,7
2007-04-10 00:00:00,258,9
2007-04-11 00:00:00,259,11
2007-04-12 00:00:00,261,22
2007-04-13 00:00:00,261,27
2007-04-14 00:00:00,264,31
2007-04-15 00:00:00,266,41
2007-04-16 00:00:00,266,51
2007-04-17 00:00:00,267,58
2007-04-18 00:00:00,267,60
2007-04-19 00:00:00,268,52
2007-04-20 00:00:00,269,48
2007-04-21 00:00:00,268,42
2007-04-22 00:00:00,268,32
2007-04-23 00:00:00,266,24
2007-04-24 00:00:00,264,13
2007-04-25 00:00:00,261,15
2007-04-26 00:00:00,260,21
2007-04-27 00:00:00,260,30
2007-04-28 00:00:00,261,34
2007-04-29 00:00:00,261,34
2007-04-30 00:00:00,261,33
2007-05-01 00:00:00,261,34
2007-05-02 00:00:00,261,28
2007-05-03 00:00:00,263,23
2007-05-04 00:00:00,265,14
2007-05-05 00:00:00,267,8
2007-05-06 00:00:00,267,8
2007-05-07 00:00:00,266,9
2007-05-08 00:00:00,262,16
2007-05-09 00:00:00,262,22
2007-05-10 00:00:00,262,19
2007-05-11 00:00:00,264,28
2007-05-12 00:00:00,266,38
2007-05-13 00:00:00,266,43
2007-05-14 00:00:00,267,49
2007-05-15 00:00:00,270,51
2007-05-16 00:00:00,271,51
2007-05-17 00:00:00,272,58
2007-05-18 00:00:00,272,50
2007-05-19 00:00:00,273,42
2007-05-20 00:00:00,273,37
2007-05-21 00:00:00,274,30
2007-05-22 00:00:00,275,20
2007-05-23 00:00:00,275,14
2007-05-24 00:00:00,273,8
2007-05-25 00:00:00,-999,6
2007-05-26 00:00:00,275,7
2007-05-27 00:00:00,276,9
2007-05-28 00:00:00,279,10
2007-05-29 00:00:00,281,12
2007-05-30 00:00:00,282,12
2007-05-31 00:00:00,284,15
2007-06-01 00:00:00,284,20
2007-06-02 00:00:00,285,23
2007-06-03 00:00:00,285,28
2007-06-04 00:00:00,285,35
2007-06-05 00:00:00,285,34
2007-06-06 00:00:00,284,37
2007-06-07 00:00:00,284,32
2007-06-08 00:00:00,284,27
2007-06-09 00:00:00,285,32
2007-06-10 00:00:00,285,31
2007-06-11 00:00:00,286,32
2007-06-12 00:00:00,286,41
2007-06-13 00:00:00,287,48
2007-06-14 00:00:00,287,51
2007-06-15 00:00:00,287,60
2007-06-16 00:00:00,287,51
2007-06-17 00:00:00,287,45
2007-06-18 00:00:00,288,36
2007-06-19 00:00:00,288,31
2007-06-20 00:00:00,289,24
2007-06-21 00:00:00,290,24
2007-06-22 00:00:00,289,17
2007-06-23 00:00:00,289,20
2007-06-24 00:00:00,289,20
2007-06-25 00:00:00,289,19
2007-06-26 00:00:00,289,14
2007-06-27 00:00:00,289,19
2007-06-28 00:00:00,289,27
2007-06-29 00:00:00,289,30
2007-06-30 00:00:00,289,34
2007-07-01 00:00:00,290,46
2007-07-02 00:00:00,290,53
2007-07-03 00:00:00,291,62
2007-07-04 00:00:00,292,62
2007-07-05 00:00:00,293,60
2007-07-06 00:00:00,293,63
2007-07-07 00:00:00,293,61
2007-07-08 00:00:00,293,52
2007-07-09 00:00:00,293,47
2007-07-10 00:00:00,293,44
2007-07-11 00:00:00,293,35
2007-07-12 00:00:00,292,30
2007-07-13 00:00:00,292,22
2007-07-14 00:00:00,292,15
2007-07-15 00:00:00,292,12
2007-07-16 00:00:00,293,10
2007-07-17 00:00:00,291,4
2007-07-18 00:00:00,288,5
2007-07-19 00:00:00,279,2
2007-07-20 00:00:00,287,9
2007-07-21 00:00:00,287,17
2007-07-22 00:00:00,288,24
2007-07-23 00:00:00,288,24
2007-07-24 00:00:00,288,25
2007-07-25 00:00:00,288,29
2007-07-26 00:00:00,288,28
2007-07-27 00:00:00,288,21
2007-07-28 00:00:00,288,16
2007-07-29 00:00:00,288,18
2007-07-30 00:00:00,289,22
2007-07-31 00:00:00,288,22
2007-08-01 00:00:00,288,18
2007-08-02 00:00:00,288,18
2007-08-03 00:00:00,288,21
2007-08-04 00:00:00,287,18
2007-08-05 00:00:00,285,11
2007-08-06 00:00:00,283,14
2007-08-07 00:00:00,284,14
2007-08-08 00:00:00,285,13
2007-08-09 00:00:00,285,14
2007-08-10 00:00:00,285,11
2007-08-11 00:00:00,285,11
2007-08-12 00:00:00,285,9
2007-08-13 00:00:00,286,2
2007-08-14 00:00:00,280,4
2007-08-15 00:00:00,282,8
2007-08-16 00:00:00,283,17
2007-08-17 00:00:00,284,27
2007-08-18 00:00:00,285,38
2007-08-19 00:00:00,285,48
2007-08-20 00:00:00,285,58
2007-08-21 00:00:00,286,63
2007-08-22 00:00:00,286,69
2007-08-23 00:00:00,286,70
2007-08-24 00:00:00,286,69
2007-08-25 00:00:00,286,59
2007-08-26 00:00:00,286,49
2007-08-27 00:00:00,285,42
2007-08-28 00:00:00,284,45
2007-08-29 00:00:00,283,45
2007-08-30 00:00:00,282,45
2007-08-31 00:00:00,281,45
2007-09-01 00:00:00,281,44
2007-09-02 00:00:00,281,48
2007-09-03 00:00:00,281,45
2007-09-04 00:00:00,281,37
2007-09-05 00:00:00,281,32
2007-09-06 00:00:00,282,26
2007-09-07 00:00:00,283,17
2007-09-08 00:00:00,283,17
2007-09-09 00:00:00,283,13
2007-09-10 00:00:00,280,14
2007-09-11 00:00:00,280,20
2007-09-12 00:00:00,279,23
2007-09-13 00:00:00,278,18
2007-09-14 00:00:00,278,18
2007-09-15 00:00:00,278,18
2007-09-16 00:00:00,278,19
2007-09-17 00:00:00,277,20
2007-09-18 00:00:00,277,12
2007-09-19 00:00:00,-999,4
2007-09-20 00:00:00,-999,4
2007-09-21 00:00:00,-999,4
2007-09-22 00:00:00,273,8
2007-09-23 00:00:00,273,12
2007-09-24 00:00:00,273,16
2007-09-25 00:00:00,273,17
2007-09-26 00:00:00,273,17
2007-09-27 00:00:00,273,17
2007-09-28 00:00:00,273,19
2007-09-29 00:00:00,272,21
2007-09-30 00:00:00,-999,19
2007-10-01 00:00:00,-999,13
2007-10-02 00:00:00,-999,13
2007-10-03 00:00:00,-999,16
2007-10-04 00:00:00,-999,18
2007-10-05 00:00:00,-999,16
2007-10-06 00:00:00,-999,10
2007-10-07 00:00:00,-999,8
2007-10-08 00:00:00,-999,8
2007-10-09 00:00:00,-999,6
2007-10-10 00:00:00,-999,4
2007-10-11 00:00:00,-999,4
2007-10-12 00:00:00,-999,4
2007-10-13 00:00:00,262,6
2007-10-14 00:00:00,261,11
2007-10-15 00:00:00,260,16
2007-10-16 00:00:00,260,20
2007-10-17 00:00:00,259,21
2007-10-18 00:00:00,259,19
2007-10-19 00:00:00,259,25
2007-10-20 00:00:00,259,25
2007-10-21 00:00:00,258,19
2007-10-22 00:00:00,258,14
2007-10-23 00:00:00,258,10
2007-10-24 00:00:00,257,12
2007-10-25 00:00:00,258,13
2007-10-26 00:00:00,255,10
2007-10-27 00:00:00,255,8
2007-10-28 00:00:00,255,8
2007-10-29 00:00:00,255,8
2007-10-30 00:00:00,254,9
2007-10-31 00:00:00,255,5
2007-11-01 00:00:00,253,6
2007-11-02 00:00:00,254,6
2007-11-03 00:00:00,253,7
2007-11-04 00:00:00,253,9
2007-11-05 00:00:00,253,9
2007-11-06 00:00:00,254,8
2007-11-07 00:00:00,254,8
2007-11-08 00:00:00,254,8
2007-11-09 00:00:00,254,5
2007-11-10 00:00:00,255,4
2007-11-11 00:00:00,-999,2
2007-11-12 00:00:00,253,4
2007-11-13 00:00:00,250,12
2007-11-14 00:00:00,247,21
2007-11-15 00:00:00,247,19
2007-11-16 00:00:00,248,24
2007-11-17 00:00:00,248,26
2007-11-18 00:00:00,247,34
2007-11-19 00:00:00,246,42
2007-11-20 00:00:00,244,43
2007-11-21 00:00:00,244,44
2007-11-22 00:00:00,244,54
2007-11-23 00:00:00,243,49
2007-11-24 00:00:00,243,49
2007-11-25 00:00:00,243,48
2007-11-26 00:00:00,242,41
2007-11-27 00:00:00,242,41
2007-11-28 00:00:00,241,41
2007-11-29 00:00:00,240,41
2007-11-30 00:00:00,240,49
2007-12-01 00:00:00,240,49
2007-12-02 00:00:00,241,49
2007-12-03 00:00:00,242,47
2007-12-04 00:00:00,243,39
2007-12-05 00:00:00,244,33
2007-12-06 00:00:00,247,28
2007-12-07 00:00:00,250,20
2007-12-08 00:00:00,249,20
2007-12-09 00:00:00,249,13
2007-12-10 00:00:00,250,12
2007-12-11 00:00:00,249,11
2007-12-12 00:00:00,250,7
2007-12-13 00:00:00,-999,2
2007-12-14 00:00:00,-999,3
2007-12-15 00:00:00,244,4
2007-12-16 00:00:00,239,15
2007-12-17 00:00:00,239,26
2007-12-18 00:00:00,240,30
2007-12-19 00:00:00,240,34
2007-12-20 00:00:00,240,34
2007-12-21 00:00:00,240,35
2007-12-22 00:00:00,241,36
2007-12-23 00:00:00,241,32
2007-12-24 00:00:00,242,21
2007-12-25 00:00:00,242,17
2007-12-26 00:00:00,242,13
2007-12-27 00:00:00,242,13
2007-12-28 00:00:00,241,11
2007-12-29 00:00:00,239,7
2007-12-30 00:00:00,-999,-999
2007-12-31 00:00:00,-999,-999
2008-01-01 00:00:00,251,4
2008-01-02 00:00:00,251,4
2008-01-03 00:00:00,248,4
2008-01-04 00:00:00,250,3
2008-01-05 00:00:00,-999,3
2008-01-06 00:00:00,-999,3
2008-01-07 00:00:00,-999,3
2008-01-08 00:00:00,236,8
2008-01-09 00:00:00,233,16
2008-01-10 00:00:00,235,20
2008-01-11 00:00:00,236,22
2008-01-12 00:00:00,236,23
2008-01-13 00:00:00,239,32
2008-01-14 00:00:00,239,32
2008-01-15 00:00:00,243,32
2008-01-16 00:00:00,250,27
2008-01-17 00:00:00,253,24
2008-01-18 00:00:00,250,30
2008-01-19 00:00:00,250,29
2008-01-20 00:00:00,251,20
2008-01-21 00:00:00,245,29
2008-01-22 00:00:00,240,34
2008-01-23 00:00:00,237,37
2008-01-24 00:00:00,235,43
2008-01-25 00:00:00,233,47
2008-01-26 00:00:00,233,56
2008-01-27 00:00:00,232,65
2008-01-28 00:00:00,232,61
2008-01-29 00:00:00,232,57
2008-01-30 00:00:00,232,54
2008-01-31 00:00:00,232,47
2008-02-01 00:00:00,232,36
2008-02-02 00:00:00,232,30
2008-02-03 00:00:00,232,30
2008-02-04 00:00:00,233,31
2008-02-05 00:00:00,233,28
2008-02-06 00:00:00,236,35
2008-02-07 00:00:00,237,41
2008-02-08 00:00:00,238,46
2008-02-09 00:00:00,241,49
2008-02-10 00:00:00,243,42
2008-02-11 00:00:00,245,42
2008-02-12 00:00:00,247,42
2008-02-13 00:00:00,250,40
2008-02-14 00:00:00,252,38
2008-02-15 00:00:00,254,40
2008-02-16 00:00:00,255,35
2008-02-17 00:00:00,256,34
2008-02-18 00:00:00,256,30
2008-02-19 00:00:00,256,27
2008-02-20 00:00:00,254,24
2008-02-21 00:00:00,251,23
2008-02-22 00:00:00,247,16
2008-02-23 00:00:00,244,13
2008-02-24 00:00:00,242,14
2008-02-25 00:00:00,241,16
2008-02-26 00:00:00,241,22
2008-02-27 00:00:00,241,21
2008-02-28 00:00:00,244,21
2008-02-29 00:00:00,244,20
2008-03-01 00:00:00,244,20
2008-03-02 00:00:00,244,19
2008-03-03 00:00:00,245,20
2008-03-04 00:00:00,247,14
2008-03-05 00:00:00,247,10
2008-03-06 00:00:00,244,8
2008-03-07 00:00:00,245,9
2008-03-08 00:00:00,245,9
2008-03-09 00:00:00,244,11
2008-03-10 00:00:00,-999,11
2008-03-11 00:00:00,237,18
2008-03-12 00:00:00,237,22
2008-03-13 00:00:00,238,26
2008-03-14 00:00:00,238,30
2008-03-15 00:00:00,238,35
2008-03-16 00:00:00,238,35
2008-03-17 00:00:00,239,30
2008-03-18 00:00:00,241,27
2008-03-19 00:00:00,242,25
2008-03-20 00:00:00,242,23
2008-03-21 00:00:00,245,25
2008-03-22 00:00:00,246,24
2008-03-23 00:00:00,246,28
2008-03-24 00:00:00,247,36
2008-03-25 00:00:00,249,38
2008-03-26 00:00:00,249,38
2008-03-27 00:00:00,249,34
2008-03-28 00:00:00,250,27
2008-03-29 00:00:00,253,26
2008-03-30 00:00:00,257,22
2008-03-31 00:00:00,261,15
2008-04-01 00:00:00,263,9
2008-04-02 00:00:00,262,10
2008-04-03 00:00:00,260,14
2008-04-04 00:00:00,259,15
2008-04-05 00:00:00,256,19
2008-04-06 00:00:00,255,17
2008-04-07 00:00:00,254,17
2008-04-08 00:00:00,255,22
2008-04-09 00:00:00,255,20
2008-04-10 00:00:00,255,18
2008-04-11 00:00:00,255,18
2008-04-12 00:00:00,257,19
2008-04-13 00:00:00,257,20
2008-04-14 00:00:00,257,19
2008-04-15 00:00:00,257,14
2008-04-16 00:00:00,258,21
2008-04-17 00:00:00,259,26
2008-04-18 00:00:00,259,30
2008-04-19 00:00:00,260,24
2008-04-20 00:00:00,260,23
2008-04-21 00:00:00,262,25
2008-04-22 00:00:00,262,27
2008-04-23 00:00:00,262,21
