Date,Surface temperature average weight,Number of cloud free observations
2007-01-01 00:00:00,241,8
2007-01-02 00:00:00,241,8
2007-01-03 00:00:00,238,12
2007-01-04 00:00:00,238,15
2007-01-05 00:00:00,238,15
2007-01-06 00:00:00,236,23
2007-01-07 00:00:00,236,22
2007-01-08 00:00:00,237,26
2007-01-09 00:00:00,237,26
2007-01-10 00:00:00,237,22
2007-01-11 00:00:00,240,24
2007-01-12 00:00:00,241,31
2007-01-13 00:00:00,244,28
2007-01-14 00:00:00,245,31
2007-01-15 00:00:00,245,27
2007-01-16 00:00:00,245,27
2007-01-17 00:00:00,245,27
2007-01-18 00:00:00,244,22
2007-01-19 00:00:00,244,14
2007-01-20 00:00:00,243,9
2007-01-21 00:00:00,247,8
2007-01-22 00:00:00,247,8
2007-01-23 00:00:00,250,13
2007-01-24 00:00:00,250,14
2007-01-25 00:00:00,250,14
2007-01-26 00:00:00,251,16
2007-01-27 00:00:00,251,24
2007-01-28 00:00:00,253,21
2007-01-29 00:00:00,251,25
2007-01-30 00:00:00,251,23
2007-01-31 00:00:00,250,28
2007-02-01 00:00:00,248,34
2007-02-02 00:00:00,246,40
2007-02-03 00:00:00,244,43
2007-02-04 00:00:00,242,51
2007-02-05 00:00:00,241,58
2007-02-06 00:00:00,241,64
2007-02-07 00:00:00,240,67
2007-02-08 00:00:00,240,63
2007-02-09 00:00:00,240,54
2007-02-10 00:00:00,239,47
2007-02-11 00:00:00,239,36
2007-02-12 00:00:00,239,28
2007-02-13 00:00:00,239,22
2007-02-14 00:00:00,236,16
2007-02-15 00:00:00,235,15
2007-02-16 00:00:00,234,18
2007-02-17 00:00:00,234,20
2007-02-18 00:00:00,232,23
2007-02-19 00:00:00,232,23
2007-02-20 00:00:00,232,21
2007-02-21 00:00:00,232,20
2007-02-22 00:00:00,232,19
2007-02-23 00:00:00,233,18
2007-02-24 00:00:00,234,16
2007-02-25 00:00:00,236,12
2007-02-26 00:00:00,237,9
2007-02-27 00:00:00,237,10
2007-02-28 00:00:00,238,12
2007-03-01 00:00:00,239,13
2007-03-02 00:00:00,239,13
2007-03-03 00:00:00,240,12
2007-03-04 00:00:00,240,15
2007-03-05 00:00:00,239,20
2007-03-06 00:00:00,240,18
2007-03-07 00:00:00,239,15
2007-03-08 00:00:00,239,21
2007-03-09 00:00:00,239,26
2007-03-10 00:00:00,239,25
2007-03-11 00:00:00,240,24
2007-03-12 00:00:00,242,23
2007-03-13 00:00:00,243,29
2007-03-14 00:00:00,243,33
2007-03-15 00:00:00,244,31
2007-03-16 00:00:00,245,26
2007-03-17 00:00:00,244,27
2007-03-18 00:00:00,244,28
2007-03-19 00:00:00,243,28
2007-03-20 00:00:00,242,27
2007-03-21 00:00:00,244,29
2007-03-22 00:00:00,245,29
2007-03-23 00:00:00,247,34
2007-03-24 00:00:00,248,34
2007-03-25 00:00:00,248,31
2007-03-26 00:00:00,251,35
2007-03-27 00:00:00,254,41
2007-03-28 00:00:00,255,42
2007-03-29 00:00:00,256,41
2007-03-30 00:00:00,257,42
2007-03-31 00:00:00,258,47
2007-04-01 00:00:00,258,51
2007-04-02 00:00:00,258,46
2007-04-03 00:00:00,259,38
2007-04-04 00:00:00,260,30
2007-04-05 00:00:00,260,26
2007-04-06 00:00:00,261,18
2007-04-07 00:00:00,256,14
2007-04-08 00:00:00,256,10
2007-04-09 00:00:00,256,7
2007-04-10 00:00:00,258,8
2007-04-11 00:00:00,259,11
2007-04-12 00:00:00,260,22
2007-04-13 00:00:00,261,26
2007-04-14 00:00:00,264,31
2007-04-15 00:00:00,265,40
2007-04-16 00:00:00,266,49
2007-04-17 00:00:00,267,55
2007-04-18 00:00:00,267,58
2007-04-19 00:00:00,269,49
2007-04-20 00:00:00,269,45
2007-04-21 00:00:00,269,38
2007-04-22 00:00:00,268,31
2007-04-23 00:00:00,266,24
2007-04-24 00:00:00,264,14
2007-04-25 00:00:00,261,15
2007-04-26 00:00:00,260,22
2007-04-27 00:00:00,260,32
2007-04-28 00:00:00,260,35
2007-04-29 00:00:00,260,33
2007-04-30 00:00:00,261,33
2007-05-01 00:00:00,261,34
2007-05-02 00:00:00,261,28
2007-05-03 00:00:00,263,23
2007-05-04 00:00:00,265,13
2007-05-05 00:00:00,268,8
2007-05-06 00:00:00,268,8
2007-05-07 00:00:00,266,7
2007-05-08 00:00:00,262,13
2007-05-09 00:00:00,263,20
2007-05-10 00:00:00,262,18
2007-05-11 00:00:00,264,28
2007-05-12 00:00:00,267,39
2007-05-13 00:00:00,267,44
2007-05-14 00:00:00,268,51
2007-05-15 00:00:00,270,54
2007-05-16 00:00:00,271,53
2007-05-17 00:00:00,271,58
2007-05-18 00:00:00,272,49
2007-05-19 00:00:00,272,39
2007-05-20 00:00:00,273,35
2007-05-21 00:00:00,273,29
2007-05-22 00:00:00,274,19
2007-05-23 00:00:00,274,13
2007-05-24 00:00:00,273,7
2007-05-25 00:00:00,273,6
2007-05-26 00:00:00,274,6
2007-05-27 00:00:00,276,6
2007-05-28 00:00:00,-999,5
2007-05-29 00:00:00,-999,6
2007-05-30 00:00:00,-999,6
2007-05-31 00:00:00,286,8
2007-06-01 00:00:00,285,13
2007-06-02 00:00:00,285,18
2007-06-03 00:00:00,285,22
2007-06-04 00:00:00,285,30
2007-06-05 00:00:00,285,30
2007-06-06 00:00:00,285,33
2007-06-07 00:00:00,284,30
2007-06-08 00:00:00,284,28
2007-06-09 00:00:00,285,33
2007-06-10 00:00:00,285,36
2007-06-11 00:00:00,285,37
