Date,Surface temperature average weight,Number of cloud free observations
2007-01-01 00:00:00,240,10
2007-01-02 00:00:00,240,10
2007-01-03 00:00:00,237,15
2007-01-04 00:00:00,237,18
2007-01-05 00:00:00,238,20
2007-01-06 00:00:00,236,29
2007-01-07 00:00:00,236,27
2007-01-08 00:00:00,237,30
2007-01-09 00:00:00,237,30
2007-01-10 00:00:00,238,26
2007-01-11 00:00:00,240,28
2007-01-12 00:00:00,241,32
2007-01-13 00:00:00,244,27
2007-01-14 00:00:00,244,29
2007-01-15 00:00:00,244,25
2007-01-16 00:00:00,244,25
2007-01-17 00:00:00,244,24
2007-01-18 00:00:00,243,19
2007-01-19 00:00:00,243,11
2007-01-20 00:00:00,242,8
2007-01-21 00:00:00,247,9
2007-01-22 00:00:00,247,9
2007-01-23 00:00:00,248,10
2007-01-24 00:00:00,248,11
2007-01-25 00:00:00,248,11
2007-01-26 00:00:00,249,15
2007-01-27 00:00:00,250,25
2007-01-28 00:00:00,252,19
2007-01-29 00:00:00,250,23
2007-01-30 00:00:00,251,25
2007-01-31 00:00:00,250,29
2007-02-01 00:00:00,248,34
2007-02-02 00:00:00,246,39
2007-02-03 00:00:00,243,38
2007-02-04 00:00:00,242,48
2007-02-05 00:00:00,241,54
2007-02-06 00:00:00,240,61
2007-02-07 00:00:00,240,65
2007-02-08 00:00:00,240,62
2007-02-09 00:00:00,240,54
2007-02-10 00:00:00,239,50
2007-02-11 00:00:00,239,41
2007-02-12 00:00:00,239,33
2007-02-13 00:00:00,238,25
2007-02-14 00:00:00,237,20
2007-02-15 00:00:00,236,21
2007-02-16 00:00:00,236,22
2007-02-17 00:00:00,235,21
2007-02-18 00:00:00,233,24
2007-02-19 00:00:00,233,25
2007-02-20 00:00:00,234,25
2007-02-21 00:00:00,234,23
2007-02-22 00:00:00,234,21
2007-02-23 00:00:00,234,21
2007-02-24 00:00:00,235,20
2007-02-25 00:00:00,238,17
2007-02-26 00:00:00,239,16
2007-02-27 00:00:00,239,17
2007-02-28 00:00:00,239,18
2007-03-01 00:00:00,239,17
2007-03-02 00:00:00,239,16
2007-03-03 00:00:00,240,13
2007-03-04 00:00:00,239,15
2007-03-05 00:00:00,238,18
2007-03-06 00:00:00,238,15
2007-03-07 00:00:00,239,15
2007-03-08 00:00:00,239,20
